SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.49,-3.02622,"GPX_Bacillus-subtilis",-3.02622,-0.36366,-0.304882,-0,-1.77636,-16.4561,-10.0184,1.7819,-0.0376507,-33.4464,-26.4745,6.82106
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.49,-3.18596,"GPX_Bacillus-subtilis",-3.18596,-0.39117,-0.419959,-0,-1.7623,-16.1581,-10.2672,1.7819,-0.0464503,-33.4033,-26.4253,7.90341
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.5,-3.17161,"GPX_Bacillus-subtilis",-3.17161,-0.379001,-0.449742,-0,-1.80891,-16.0031,-9.8112,1.7819,-0.0440176,-33.3678,-25.8143,6.65634
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.5,-3.61377,"GPX_Bacillus-subtilis",-3.61377,-0.310674,-0.836332,-0,-1.79716,-17.2384,-10.3683,1.7819,-0.0343301,-33.2757,-27.6067,13.4575
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.5,-2.75813,"GPX_Bacillus-subtilis",-2.75813,-0.462505,-0.281209,-0,-1.71731,-18.8117,-7.41213,1.7819,-0.0266057,-33.221,-26.2238,4.91676
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.5,-3.04307,"GPX_Bacillus-subtilis",-3.04307,-0.23495,-0.465545,-0,-1.78258,-16.6605,-9.73136,1.7819,-0.0491712,-32.9941,-26.3919,7.66596
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.51,-3.00861,"GPX_Bacillus-subtilis",-3.00861,-0.292703,-0.621816,-0,-1.50826,-16.6974,-9.98659,1.7819,-0.034877,-32.9147,-26.684,8.18326
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.51,-3.67389,"GPX_Bacillus-subtilis",-3.67389,-0.265776,-0.917547,-0,-1.80925,-15.5932,-10.9946,1.7819,-0.0343801,-32.7477,-26.5878,12.8894
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.51,-3.46142,"GPX_Bacillus-subtilis",-3.46142,-0.237098,-0.784574,-0,-1.58209,-14.6008,-12.3647,1.7819,-0.0548015,-32.6908,-26.9656,12.3008
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.51,-3.08541,"GPX_Bacillus-subtilis",-3.08541,-0.292492,-0.653053,-0,-1.42834,-14.0399,-11.6161,1.7819,-0.0490152,-32.5321,-25.656,7.42042
