SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.39637,"GPX_Gossypium-hirsutum",-4.39637,-0.15746,-1.33333,-0,-1.34889,-13.0744,-17.1456,1.7819,-0.113038,-39.4104,-30.22,13.2468
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.16856,"GPX_Gossypium-hirsutum",-4.16856,-0.299953,-0.853925,-0,-1.45552,-15.5008,-16.3035,1.7819,-0.120501,-39.3767,-31.8043,14.9265
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.04894,"GPX_Gossypium-hirsutum",-4.04894,-0.1248,-1.14538,-0,-1.38849,-12.6597,-16.0709,1.7819,-0.128542,-39.3646,-28.7306,7.94014
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-4.03622,"GPX_Gossypium-hirsutum",-4.03622,-0.192105,-0.95508,-0,-1.438,-13.1411,-16.4756,1.7819,-0.104544,-39.1669,-29.6167,10.0141
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.96,-3.30034,"GPX_Gossypium-hirsutum",-3.30034,-0.459097,-0.175325,-0,-1.72141,-18.5693,-11.739,1.7819,-0.0370958,-39.1299,-30.3083,6.16413
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.97,-4.38956,"GPX_Gossypium-hirsutum",-4.38956,-0.170168,-1.28651,-0,-1.42717,-14.0563,-16.4404,1.7819,-0.118741,-38.8731,-30.4967,14.899
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.97,-3.393,"GPX_Gossypium-hirsutum",-3.393,-0.303337,-0.275076,-0,-1.88407,-18.2099,-11.796,1.7819,-0.032521,-38.8498,-30.0059,6.77817
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.97,-3.83276,"GPX_Gossypium-hirsutum",-3.83276,-0.16214,-1.06025,-0,-1.47989,-16.0165,-13.2933,1.7819,-0.117559,-38.5238,-29.3098,9.22091
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.97,-3.39346,"GPX_Gossypium-hirsutum",-3.39346,-0.191331,-0.670328,-0,-1.56461,-15.4461,-12.7217,1.7819,-0.068529,-38.3766,-28.1678,4.03717
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,29.97,-4.12562,"GPX_Gossypium-hirsutum",-4.12562,-0.148929,-1.17852,-0,-1.33904,-10.0422,-17.4962,1.7819,-0.114494,-38.2374,-27.5384,8.36352
