SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.84,-3.32011,"GPX_Staphylococcus-aureus",-3.32011,-0.202065,-0.530889,-0,-1.48951,-14.2244,-14.4555,1.7819,0,-36.1619,-28.6799,8.76931
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.84,-3.60832,"GPX_Staphylococcus-aureus",-3.60832,-0.0585467,-0.867184,-0,-1.43825,-11.0549,-16.249,1.7819,-0.0361528,-36.0307,-27.3039,8.35302
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.84,-3.41681,"GPX_Staphylococcus-aureus",-3.41681,-0.0490739,-0.628607,-0,-1.47738,-12.3775,-16.1652,1.7819,0,-36.0216,-28.5427,9.49054
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.84,-3.64019,"GPX_Staphylococcus-aureus",-3.64019,-0.243601,-0.680581,-0,-1.58852,-13.2049,-14.6011,1.7819,-0.0589737,-35.9952,-27.8061,9.64473
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.84,-3.60798,"GPX_Staphylococcus-aureus",-3.60798,-0.131626,-0.690027,-0,-1.51896,-13.6138,-15.5385,1.7819,-0.0378025,-35.8103,-29.1524,12.47
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.85,-3.24912,"GPX_Staphylococcus-aureus",-3.24912,-0.260783,-0.496991,-0,-1.58211,-13.9488,-12.8837,1.7819,-0.0611493,-35.7359,-26.8324,5.44049
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.85,-3.32351,"GPX_Staphylococcus-aureus",-3.32351,-0.288966,-0.429444,-0,-1.51797,-13.5777,-14.1268,1.7819,-0.0711311,-35.6459,-27.7045,7.87736
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.85,-3.26243,"GPX_Staphylococcus-aureus",-3.26243,-0.173622,-0.48,-0,-1.5814,-14.503,-13.6829,1.7819,-0.0317235,-35.6439,-28.1859,8.42119
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.85,-3.35096,"GPX_Staphylococcus-aureus",-3.35096,-0.22585,-0.616305,-0,-1.5208,-13.8739,-13.3575,1.7819,-0.0725708,-35.5101,-27.2315,7.41928
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.85,-3.73822,"GPX_Staphylococcus-aureus",-3.73822,-0.2044,-0.826333,-0,-1.46408,-11.5352,-16.2005,1.7819,-0.0184733,-35.4257,-27.7357,11.3679
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.86,-3.76648,"GPX_Staphylococcus-aureus",-3.76648,-0.426545,-0.824162,-0,-1.45223,-12.8768,-14.0805,1.7819,-0.0895314,-35.4061,-26.9573,9.89965
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.86,-3.33773,"GPX_Staphylococcus-aureus",-3.33773,-0.194076,-0.446242,-0,-1.41393,-13.3859,-15.6663,1.7819,-0.0461378,-35.3578,-29.0523,11.2438
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.86,-3.42052,"GPX_Staphylococcus-aureus",-3.42052,-0.27892,-0.584755,-0,-1.54143,-13.9027,-13.7387,1.7819,-0.0413718,-35.3443,-27.6414,9.06721
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.86,-3.43987,"GPX_Staphylococcus-aureus",-3.43987,-0.0519627,-0.496206,-0,-1.46973,-10.6248,-17.3778,1.7819,-0.0659601,-35.3366,-28.0026,9.94689
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.86,-3.07266,"GPX_Staphylococcus-aureus",-3.07266,-0.0414125,-0.48,-0,-1.43942,-12.8124,-14.8065,1.7819,-0.0321358,-35.2759,-27.6189,6.65367
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.86,-3.23517,"GPX_Staphylococcus-aureus",-3.23517,-0.190545,-0.509224,-0,-1.49751,-13.7217,-14.2247,1.7819,0,-35.161,-27.9464,8.69681
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.87,-3.38177,"GPX_Staphylococcus-aureus",-3.38177,-0.187712,-0.511011,-0,-1.53382,-13.42,-14.6113,1.7819,-0.0684298,-35.0863,-28.0313,10.0848
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.87,-3.14623,"GPX_Staphylococcus-aureus",-3.14623,-0.0604544,-0.465834,-0,-1.61283,-13.8964,-13.9613,1.7819,0,-35.0103,-27.8577,8.18789
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.87,-3.00295,"GPX_Staphylococcus-aureus",-3.00295,-0.0908126,-0.450893,-0,-1.35095,-13.3328,-14.7608,1.7819,-0.0114318,-34.5686,-28.0936,8.52682
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.87,-3.6172,"GPX_Staphylococcus-aureus",-3.6172,-0.13346,-0.845179,-0,-1.43421,-11.5051,-16.0493,1.7819,-0.00359742,-34.5522,-27.5544,11.8734
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.87,-3.25701,"GPX_Staphylococcus-aureus",-3.25701,-0.241444,-0.505614,-0,-1.47043,-11.7618,-14.4176,1.7819,-0.0706862,-34.341,-26.1794,6.96906
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.88,-2.88217,"GPX_Staphylococcus-aureus",-2.88217,-0.0359086,-0.48,-0,-1.56679,-13.0778,-12.6098,1.7819,-0.0360094,-34.3319,-25.6876,3.31127
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.88,-2.95976,"GPX_Staphylococcus-aureus",-2.95976,-0.101026,-0.33539,-0,-1.60479,-13.6789,-13.1253,1.7819,-0.0477095,-34.2407,-26.8043,6.28817
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.88,-3.08344,"GPX_Staphylococcus-aureus",-3.08344,-0.044388,-0.608704,-0,-1.41034,-11.77,-14.267,1.7819,-0.0733516,-34.2342,-26.037,5.66006
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.88,-3.49535,"GPX_Staphylococcus-aureus",-3.49535,-0.243121,-0.585148,-0,-1.53801,-13.5324,-14.2664,1.7819,-0.0943951,-34.2039,-27.7987,12.1554
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.88,-3.2273,"GPX_Staphylococcus-aureus",-3.2273,-0.481107,-0.48,-0,-1.80843,-17.1125,-9.22697,1.7819,0,-34.0796,-26.3395,7.61443
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,17.89,-3.37889,"GPX_Staphylococcus-aureus",-3.37889,-0.380224,-0.627609,-0,-1.49666,-13.3475,-12.8613,1.7819,-0.059724,-34.0656,-26.2088,8.46547
